city,state_name,lat,lng,id
Oxnard,California,34.1964,-119.1815,1840020474
Youngstown,Ohio,41.0993,-80.6463,1840003563
Indio,California,33.7346,-116.2346,1840019304
Pensacola,Florida,30.4413,-87.1911,1840015005
Anaheim,California,33.839,-117.8574,1840019322
Bonita Springs,Florida,26.3558,-81.7859,1840014227
Greensboro,North Carolina,36.0956,-79.8271,1840013356
Huntsville,Alabama,34.6981,-86.6412,1840005061
Corpus Christi,Texas,27.7254,-97.3767,1840019718
Fort Wayne,Indiana,41.0888,-85.1436,1840008261
Fayetteville,North Carolina,35.085,-78.9772,1840013490
Ann Arbor,Michigan,42.2759,-83.731,1840003172
Jackson,Mississippi,32.3157,-90.2125,1840014895
Antioch,California,37.9787,-121.796,1840018903
Mobile,Alabama,30.6782,-88.1162,1840006009
Lexington,Kentucky,38.0423,-84.4587,1840015211
Asheville,North Carolina,35.5707,-82.5537,1840013411
Trenton,New Jersey,40.2237,-74.7641,1840001383
Santa Rosa,California,38.4458,-122.7067,1840021488
Santa Ana,California,33.7367,-117.8819,1840021964
Lansing,Michigan,42.7142,-84.5601,1840003102
Henderson,Nevada,36.0133,-115.0381,1840020361
St. Paul,Minnesota,44.9478,-93.1039,1840008940
Lakeland,Florida,28.0557,-81.9545,1840015108
Newark,New Jersey,40.7245,-74.1725,1840002791
Fort Collins,Colorado,40.5477,-105.0656,1840020151
Reading,Pennsylvania,40.34,-75.9267,1840001185
Springfield,Missouri,37.1943,-93.2916,1840009904
Irvine,California,33.6772,-117.7738,1840019325
Anchorage,Alaska,61.1508,-149.1091,1840023385
The Woodlands,Texas,30.1738,-95.5134,1840019585
South Bend,Indiana,41.6767,-86.2696,1840009241
Rockford,Illinois,42.2596,-89.064,1840009132
Savannah,Georgia,32.0286,-81.1821,1840015830
Lincoln,Nebraska,40.8099,-96.6784,1840009357
Jersey City,New Jersey,40.7184,-74.0686,1840003600
Round Lake Beach,Illinois,42.3791,-88.0811,1840011171
Flint,Michigan,43.0236,-83.6921,1840002949
Shreveport,Louisiana,32.4653,-93.7955,1840015768
Plano,Texas,33.0502,-96.7486,1840020662
Myrtle Beach,South Carolina,33.7094,-78.8844,1840014717
Davenport,Iowa,41.5565,-90.6053,1840007081
Canton,Ohio,40.8078,-81.3676,1840000963
Santa Clarita,California,34.4175,-118.4964,1840021864
Chula Vista,California,32.6281,-117.0144,1840019350
Eugene,Oregon,44.0564,-123.1174,1840020007
Chandler,Arizona,33.2825,-111.8514,1840019309
Salem,Oregon,44.9233,-123.0244,1840021224
Concord,North Carolina,35.3933,-80.6369,1840014559
Gilbert,Arizona,33.31,-111.7463,1840021947
Columbus,Georgia,32.51,-84.8771,1840014887
Aguadilla,Puerto Rico,18.4382,-67.1537,1630035605
Lubbock,Texas,33.5657,-101.8879,1840020604
North Las Vegas,Nevada,36.2883,-115.0888,1840020363
St. Petersburg,Florida,27.7931,-82.6652,1840015977
Tallahassee,Florida,30.4551,-84.2527,1840015913
Laredo,Texas,27.5625,-99.4874,1840021002
Peoria,Illinois,40.752,-89.6154,1840009373
Avondale,Arizona,33.3873,-112.3235,1840019310
Lafayette,Louisiana,30.2082,-92.0325,1840015044
Irving,Texas,32.8583,-96.9702,1840019438
Montgomery,Alabama,32.3482,-86.2668,1840008353
Visalia,California,36.3276,-119.3269,1840021639
McKinney,Texas,33.2016,-96.667,1840020657
Wilmington,North Carolina,34.2099,-77.8866,1840015576
Chesapeake,Virginia,36.6778,-76.3023,1840003874
Glendale,Arizona,33.5791,-112.2311,1840020563
Garland,Texas,32.91,-96.6304,1840020707
Kennewick,Washington,46.1978,-119.1732,1840018481
Winter Haven,Florida,28.0118,-81.7014,1840015970
Scottsdale,Arizona,33.6872,-111.8651,1840021940
Norfolk,Virginia,36.8945,-76.259,1840003869
Killeen,Texas,31.0753,-97.7297,1840020854
York,Pennsylvania,39.9651,-76.7315,1840001472
Atlantic City,New Jersey,39.3797,-74.4527,1840003798
Nashua,New Hampshire,42.7491,-71.491,1840002984
Arlington,Virginia,38.8786,-77.1011,1840006112
Brownsville,Texas,25.9975,-97.458,1840019743
Fremont,California,37.5265,-121.9843,1840020292
Gulfport,Mississippi,30.4274,-89.0704,1840013947
Evansville,Indiana,37.9881,-87.5341,1840013730
Hialeah,Florida,25.8696,-80.3045,1840015157
Navarre,Florida,30.4174,-86.8907,1840027017
Bel Air South,Maryland,39.5022,-76.3113,1840073592
North Port,Florida,27.0576,-82.1977,1840015120
San Bernardino,California,34.1416,-117.2943,1840021728
Portland,Maine,43.6773,-70.2715,1840000327
Enterprise,Nevada,36.0091,-115.2278,1840033827
Bremerton,Washington,47.5436,-122.7121,1840018410
Green Bay,Wisconsin,44.5148,-87.9895,1840002344
Appleton,Wisconsin,44.278,-88.3892,1840002400
Spring Valley,Nevada,36.0952,-115.2636,1840033832
Tacoma,Washington,47.2431,-122.4531,1840021129
Spartanburg,South Carolina,34.9442,-81.9251,1840015482
Roanoke,Virginia,37.2785,-79.9581,1840003858
Gainesville,Florida,29.6804,-82.3459,1840014022
Deltona,Florida,28.905,-81.2137,1840015072
Kalamazoo,Michigan,42.2749,-85.5882,1840003185
Thousand Oaks,California,34.1914,-118.8756,1840021844
Hickory,North Carolina,35.741,-81.3223,1840014524
Yonkers,New York,40.9466,-73.8673,1840003478
Moreno Valley,California,33.9244,-117.2045,1840020552
Fontana,California,34.0968,-117.4599,1840020402
College Station,Texas,30.5852,-96.2959,1840019570
Fargo,North Dakota,46.8651,-96.8292,1840000177
Amarillo,Texas,35.1984,-101.8316,1840019156
Norwich,Connecticut,41.5495,-72.0882,1840004828
Olympia,Washington,47.0417,-122.8959,1840019865
Waterbury,Connecticut,41.5582,-73.0361,1840004851
Salinas,California,36.6883,-121.6317,1840021632
Huntington,West Virginia,38.4109,-82.4345,1840006211
Huntington Beach,California,33.696,-118.0018,1840020578
Clarksville,Tennessee,36.5692,-87.3413,1840014421
Santa Barbara,California,34.4285,-119.7202,1840021829
Glendale,California,34.1819,-118.2468,1840020483
Sunrise Manor,Nevada,36.1783,-115.0487,1840033833
Grand Prairie,Texas,32.6871,-97.0208,1840020709
Overland Park,Kansas,38.887,-94.687,1840003834
Hagerstown,Maryland,39.6401,-77.7217,1840005613
Nampa,Idaho,43.5844,-116.5638,1840020041
Gastonia,North Carolina,35.2494,-81.1854,1840013468
Frisco,Texas,33.156,-96.8216,1840020654
Cedar Rapids,Iowa,41.9662,-91.6783,1840000471
Hemet,California,33.7341,-116.9969,1840020550
Paradise,Nevada,36.0872,-115.1355,1840033743
Sioux Falls,South Dakota,43.5396,-96.7311,1840002648
Vancouver,Washington,45.6366,-122.5967,1840021189
Peoria,Arizona,33.7843,-112.2989,1840020567
Waco,Texas,31.5599,-97.1882,1840022140
Lorain,Ohio,41.4409,-82.184,1840000644
Erie,Pennsylvania,42.1167,-80.0733,1840000478
Newport News,Virginia,37.1051,-76.5185,1840003862
Aurora,Illinois,41.7638,-88.2902,1840007034
Fort Lauderdale,Florida,26.1412,-80.1464,1840014236
Vallejo,California,38.1125,-122.2342,1840021499
Murfreesboro,Tennessee,35.849,-86.4121,1840014495
Spring Hill,Florida,28.4798,-82.53,1840014105
Tempe,Arizona,33.3881,-111.9319,1840021942
High Point,North Carolina,35.991,-79.9937,1840014479
Medford,Oregon,42.3372,-122.854,1840020076
Danbury,Connecticut,41.4015,-73.4709,1840004837
Elk Grove,California,38.4161,-121.3842,1840020245
Ontario,California,34.0393,-117.6064,1840020410
Frederick,Maryland,39.4337,-77.4141,1840005710
Vero Beach South,Florida,27.6132,-80.4163,1840073853
Ocala,Florida,29.178,-82.1511,1840015067
Oceanside,California,33.2247,-117.3083,1840020623
Rancho Cucamonga,California,34.1247,-117.5667,1840020411
Garden Grove,California,33.7787,-117.9601,1840020577
Cary,North Carolina,35.7819,-78.8195,1840016196
Pembroke Pines,Florida,26.0128,-80.3382,1840015141
Bayamón,Puerto Rico,18.3794,-66.1635,1630035622
Palmdale,California,34.5944,-118.1057,1840020502
Manchester,New Hampshire,42.9848,-71.4447,1840002983
Lafayette,Indiana,40.3991,-86.8593,1840008354
Santa Cruz,California,36.9789,-122.0346,1840021579
Marysville,Washington,48.0809,-122.1561,1840019789
Muskegon,Michigan,43.2281,-86.2562,1840002870
Springfield,Illinois,39.7709,-89.654,1840009517
Hayward,California,37.6328,-122.0766,1840020293
New Bedford,Massachusetts,41.6697,-70.9428,1840003219
Alexandria,Virginia,38.8185,-77.0861,1840003837
Paterson,New Jersey,40.9147,-74.1624,1840000838
Corona,California,33.8616,-117.5649,1840019305
Merced,California,37.3057,-120.4779,1840020313
Warner Robins,Georgia,32.5961,-83.6527,1840015800
Port Arthur,Texas,29.8554,-93.9264,1840020919
Macon,Georgia,32.8065,-83.6974,1840043455
Kansas City,Kansas,39.1235,-94.7443,1840001626
Lakewood,Colorado,39.6977,-105.1172,1840020198
Sunnyvale,California,37.3836,-122.0255,1840021573
Fredericksburg,Virginia,38.2992,-77.4872,1840003845
Leesburg,Florida,28.7672,-81.8962,1840015083
Champaign,Illinois,40.1142,-88.2737,1840007239
Hollywood,Florida,26.0293,-80.1679,1840015144
Pasadena,Texas,29.6575,-95.1498,1840020930
Pomona,California,34.0585,-117.7626,1840020507
Escondido,California,33.1348,-117.0723,1840020620
Joliet,Illinois,41.5188,-88.1499,1840008192
Lake Charles,Louisiana,30.201,-93.2111,1840015039
Mesquite,Texas,32.7602,-96.5865,1840020713
Mauldin,South Carolina,34.7821,-82.3032,1840015476
Panama City,Florida,30.1995,-85.6003,1840015034
Bellevue,Washington,47.5951,-122.1535,1840018417
Naperville,Illinois,41.748,-88.1659,1840008143
Harlingen,Texas,26.1916,-97.6977,1840021036
Tuscaloosa,Alabama,33.2348,-87.5268,1840005563
Elkhart,Indiana,41.6916,-85.9627,1840008187
Torrance,California,33.8346,-118.3416,1840021873
Binghamton,New York,42.1014,-75.9093,1840000460
Houma,Louisiana,29.58,-90.7059,1840015063
Topeka,Kansas,39.0346,-95.6955,1840001621
Roseville,California,38.7703,-121.3196,1840020233
Fairfield,California,38.2583,-122.0335,1840020253
Tyler,Texas,32.3184,-95.3062,1840022076
Fullerton,California,33.8841,-117.9279,1840020576
Pueblo,Colorado,38.2701,-104.6114,1840020255
Athens,Georgia,33.9508,-83.3689,1840029463
Santa Maria,California,34.9333,-120.4431,1840021830
Surprise,Arizona,33.6815,-112.4515,1840021941
Charleston,West Virginia,38.3484,-81.6322,1840006196
Las Cruces,New Mexico,32.3265,-106.7893,1840020683
Metairie,Louisiana,29.9977,-90.178,1840013994
Thornton,Colorado,39.9197,-104.9438,1840021422
Olathe,Kansas,38.8833,-94.82,1840003833
Carolina,Puerto Rico,18.4054,-65.9792,1630035637
Gainesville,Georgia,34.2902,-83.8294,1840013612
West Valley City,Utah,40.6886,-112.0123,1840021389
Orange,California,33.8038,-117.8218,1840020582
Warren,Michigan,42.4934,-83.027,1840002418
Pasadena,California,34.1597,-118.139,1840020505
Beaumont,Texas,30.0849,-94.1451,1840019612
Burlington,North Carolina,36.076,-79.4685,1840013362
Hampton,Virginia,37.0551,-76.363,1840003866
Columbia,Missouri,38.9472,-92.3268,1840007391
Yuma,Arizona,32.5995,-114.5491,1840021998
Elizabeth,New Jersey,40.6658,-74.1913,1840003613
Racine,Wisconsin,42.7274,-87.8135,1840002493
Greeley,Colorado,40.4152,-104.7706,1840020149
Kent,Washington,47.3887,-122.2128,1840018424
Stamford,Connecticut,41.1039,-73.5585,1840004841
Odessa,Texas,31.8801,-102.3448,1840020794
Bloomington,Illinois,40.4757,-88.9703,1840007207
Miramar,Florida,25.9773,-80.3351,1840015137
Grand Junction,Colorado,39.0877,-108.5673,1840020230
Sterling Heights,Michigan,42.5809,-83.0305,1840003094
Coral Springs,Florida,26.2702,-80.2591,1840015134
Johnson City,Tennessee,36.3406,-82.3806,1840014462
Carrollton,Texas,32.989,-96.8999,1840019436
Midland,Texas,32.0243,-102.1147,1840020792
Yakima,Washington,46.5923,-120.5496,1840021154
Bellingham,Washington,48.7548,-122.469,1840018346
Yuba City,California,39.1357,-121.6383,1840021463
South Lyon,Michigan,42.4614,-83.6526,1840002432
Santa Clara,California,37.3646,-121.968,1840021571
St. George,Utah,37.0758,-113.5752,1840021559
Fort Smith,Arkansas,35.3495,-94.3695,1840013456
Simi Valley,California,34.2663,-118.749,1840021843
Dover,Delaware,39.161,-75.5202,1840005810
Norman,Oklahoma,35.2335,-97.3471,1840020451
Abilene,Texas,32.4543,-99.7384,1840019476
Billings,Montana,45.7891,-108.5526,1840018496
Ponce,Puerto Rico,18.0127,-66.6212,1630023669
Lehigh Acres,Florida,26.612,-81.6388,1840014220
St. Cloud,Minnesota,45.534,-94.1718,1840008881
Arecibo,Puerto Rico,18.4491,-66.7387,1630023566
Kenosha,Wisconsin,42.5865,-87.8773,1840003160
Greenville,North Carolina,35.5943,-77.376,1840013407
Arvada,Colorado,39.832,-105.151,1840018788
Pearland,Texas,29.5581,-95.3218,1840020979
Independence,Missouri,39.0871,-94.3501,1840008534
Texas City,Texas,29.4154,-94.9682,1840022234
Redding,California,40.5698,-122.365,1840020141
Lynchburg,Virginia,37.4003,-79.1909,1840003855
Boulder,Colorado,40.0248,-105.2524,1840018774
Iowa City,Iowa,41.6559,-91.5303,1840000532
Rochester,Minnesota,44.0154,-92.478,1840008987
Berkeley,California,37.8722,-122.276,1840018914
Waldorf,Maryland,38.6085,-76.9194,1840006175
The Villages,Florida,28.9034,-81.9887,1840014065
Duluth,Minnesota,46.7756,-92.1393,1840007685
East Los Angeles,California,34.0326,-118.1691,1840019206
Saginaw,Michigan,43.4199,-83.9501,1840002813
Clovis,California,36.8278,-119.683,1840018944
Leominster,Massachusetts,42.5209,-71.7717,1840000437
Round Rock,Texas,30.527,-97.6642,1840020879
Monroe,Louisiana,32.5185,-92.0774,1840014881
Cambridge,Massachusetts,42.3759,-71.1185,1840000429
Clearwater,Florida,27.979,-82.7623,1840015110
Seaside,California,36.6224,-121.8199,1840021634
West Jordan,Utah,40.6024,-112.0008,1840021388
Richardson,Texas,32.9716,-96.7093,1840020710
West Palm Beach,Florida,26.7469,-80.132,1840015993
Temple,Texas,31.1068,-97.3891,1840022154
Burlington,Vermont,44.4876,-73.2316,1840002310
Richmond,California,37.9477,-122.3389,1840020277
Westminster,Colorado,39.8837,-105.0624,1840021423
Pottstown,Pennsylvania,40.2508,-75.6445,1840001373
Brandon,Florida,27.9367,-82.3,1840014151
Rock Hill,South Carolina,34.9415,-81.0241,1840014618
Meridian,Idaho,43.6116,-116.3977,1840020046
Coeur d'Alene,Idaho,47.704,-116.7936,1840018402
Carlsbad,California,33.1246,-117.2834,1840019352
Lowell,Massachusetts,42.6389,-71.3217,1840000426
Waterloo,Iowa,42.4918,-92.3522,1840000440
North Charleston,South Carolina,32.9067,-80.0722,1840015164
Gilroy,California,37.0046,-121.5854,1840020327
Downey,California,33.9379,-118.1311,1840019245
Gresham,Oregon,45.5021,-122.4413,1840019939
Elgin,Illinois,42.0383,-88.324,1840008134
Utica,New York,43.0962,-75.2261,1840002746
Broken Arrow,Oklahoma,36.038,-95.7806,1840019059
Costa Mesa,California,33.6667,-117.9135,1840019326
Chico,California,39.7578,-121.8161,1840018778
Sioux City,Iowa,42.4959,-96.3901,1840000447
League City,Texas,29.4874,-95.1087,1840020973
Miami Gardens,Florida,25.9433,-80.2426,1840015151
Pompano Beach,Florida,26.2428,-80.1312,1840015143
San Buenaventura,California,34.2741,-119.2314,1840037414
Everett,Washington,47.9525,-122.1669,1840019785
El Centro,California,32.7865,-115.5595,1840020630
Sugar Land,Texas,29.5935,-95.6358,1840022217
El Monte,California,34.0739,-118.0291,1840020480
Lewisville,Texas,33.0454,-96.9815,1840020639
West Covina,California,34.0555,-117.9113,1840021876
Temecula,California,33.4928,-117.1315,1840021937
Bend,Oregon,44.0563,-121.3095,1840018618
Salisbury,Maryland,38.3756,-75.5865,1840006219
Jacksonville,North Carolina,34.7289,-77.3941,1840014653
Inglewood,California,33.9566,-118.3444,1840019237
Dearborn,Michigan,42.3127,-83.213,1840003969
Centennial,Colorado,39.5926,-104.8673,1840018792
Burbank,California,34.1879,-118.3235,1840019233
Sparks,Nevada,39.5736,-119.7161,1840021337
Sandy Springs,Georgia,33.9366,-84.3703,1840015609
Bloomington,Indiana,39.1637,-86.5257,1840007376
Logan,Utah,41.7399,-111.8422,1840020108
Kailua,Hawaii,21.392,-157.7396,1840023244
El Cajon,California,32.8017,-116.9604,1840020618
Hillsboro,Oregon,45.5273,-122.936,1840019932
South Fulton,Georgia,33.6273,-84.58,1840029465
Renton,Washington,47.4784,-122.1918,1840019827
Mandeville,Louisiana,30.3751,-90.0904,1840015909
San Mateo,California,37.5522,-122.3121,1840021551
Columbia,Maryland,39.2004,-76.859,1840005803
Daly City,California,37.6862,-122.4685,1840018926
Davie,Florida,26.0789,-80.287,1840017272
Jurupa Valley,California,34.001,-117.4706,1840043419
Brockton,Massachusetts,42.0821,-71.0242,1840000467
Longmont,Colorado,40.1686,-105.1005,1840020178
Rialto,California,34.1175,-117.3892,1840020407
San Germán,Puerto Rico,18.0827,-67.046,1630023526
Eau Claire,Wisconsin,44.8197,-91.4948,1840002296
Turlock,California,37.5053,-120.8588,1840021533
Norwalk,California,33.9069,-118.0829,1840020501
Highlands Ranch,Colorado,39.5419,-104.9708,1840028579
Allen,Texas,33.1088,-96.6735,1840019396
Wichita Falls,Texas,33.9072,-98.5291,1840021923
Rio Rancho,New Mexico,35.2873,-106.6982,1840020387
Vacaville,California,38.3587,-121.9673,1840021498
Spokane Valley,Washington,47.6626,-117.2346,1840021094
Charlottesville,Virginia,38.0375,-78.4855,1840001678
Idaho Falls,Idaho,43.4871,-112.0362,1840018644
Menifee,California,33.6909,-117.1849,1840022903
Lee's Summit,Missouri,38.9171,-94.3816,1840032155
Quincy,Massachusetts,42.2506,-71.0187,1840000461
San Angelo,Texas,31.4424,-100.4504,1840022146
Lynn,Massachusetts,42.4781,-70.9664,1840000409
Holland,Michigan,42.7677,-86.0984,1840002996
Federal Way,Washington,47.3091,-122.3358,1840019826
Manteca,California,37.7927,-121.2264,1840020265
Lafayette,Colorado,39.9946,-105.0998,1840020180
Santa Fe,New Mexico,35.6619,-105.9819,1840021707
Hesperia,California,34.3975,-117.3147,1840020404
La Crosse,Wisconsin,43.8241,-91.2268,1840002577
Riverview,Florida,27.8227,-82.3023,1840014158
Kingsport,Tennessee,36.5224,-82.5454,1840014425
Edinburg,Texas,26.3196,-98.1597,1840021020
Vista,California,33.1896,-117.2386,1840021994
Bowling Green,Kentucky,36.9716,-86.4378,1840013265
Carmel,Indiana,39.965,-86.146,1840007260
Longview,Texas,32.5193,-94.7622,1840020746
Tracy,California,37.7269,-121.4523,1840021518
Prescott Valley,Arizona,34.598,-112.3185,1840021772
Beaverton,Oregon,45.4779,-122.8168,1840018556
Portsmouth,New Hampshire,43.058,-70.7826,1840002932
Portsmouth,Virginia,36.8468,-76.354,1840003872
Fishers,Indiana,39.9588,-85.9659,1840010496
Orem,Utah,40.2981,-111.6994,1840020171
Sandy,Utah,40.5709,-111.8506,1840037422
Sunrise,Florida,26.1547,-80.2997,1840016000
San Tan Valley,Arizona,33.1786,-111.5629,1840027990
Compton,California,33.893,-118.2274,1840019240
Arden-Arcade,California,38.6017,-121.3845,1840036690
Hanford,California,36.3274,-119.6549,1840020382
Boca Raton,Florida,26.3752,-80.108,1840014207
Middletown,Ohio,39.5033,-84.3659,1840003804
Livonia,Michigan,42.3972,-83.3733,1840003985
Carson,California,33.8374,-118.2559,1840019214
Lawrence,Kansas,38.9597,-95.2642,1840001632
Slidell,Louisiana,30.2887,-89.7828,1840015911
Blacksburg,Virginia,37.23,-80.4279,1840006446
San Marcos,California,33.135,-117.1743,1840021991
Goodyear,Arizona,33.2614,-112.3622,1840020564
Edmond,Oklahoma,35.6689,-97.416,1840020423
Mayagüez,Puerto Rico,18.2003,-67.1397,1630035520
Fall River,Massachusetts,41.7136,-71.1015,1840000497
South Gate,California,33.9447,-118.1926,1840021870
Suffolk,Virginia,36.6953,-76.6398,1840003873
Terre Haute,Indiana,39.466,-87.3751,1840009671
Missoula,Montana,46.8751,-114.0214,1840019840
Santa Monica,California,34.0235,-118.481,1840021866
Roswell,Georgia,34.0391,-84.3513,1840014741
Vineland,New Jersey,39.4653,-74.9981,1840001551
Plantation,Florida,26.1259,-80.2617,1840015142
Alafaya,Florida,28.528,-81.1868,1840029102
Kirkland,Washington,47.697,-122.2057,1840019836
Hoover,Alabama,33.3763,-86.8068,1840014795
Westminster,California,33.7523,-117.9938,1840021969
Lawton,Oklahoma,34.6175,-98.4202,1840020477
San Leandro,California,37.7074,-122.1599,1840021538
Auburn,Alabama,32.6087,-85.4903,1840013810
Norwalk,Connecticut,41.1144,-73.4215,1840004839
O'Fallon,Missouri,38.785,-90.7175,1840008571
Chino,California,33.9836,-117.6654,1840019114
Germantown,Maryland,39.1755,-77.2643,1840005840
Dover,New Hampshire,43.1887,-70.8845,1840002808
Bismarck,North Dakota,46.8143,-100.7694,1840001926
Waukegan,Illinois,42.3698,-87.8716,1840010113
Buckeye,Arizona,33.4314,-112.6429,1840021939
Town 'n' Country,Florida,28.0106,-82.5763,1840029089
Clifton,New Jersey,40.863,-74.1575,1840003511
Bloomington,Minnesota,44.8306,-93.3151,1840006747
Mount Pleasant,South Carolina,32.8537,-79.8203,1840017286
